title,id
selenide,0
ssis,1
webpack,2
angular,3
xml,4
ds,5
тайм-менеджмент ,6
субд,7
kanban,8
навыки переговоров,9
ручное тестирование,10
github,11
генерация идей,12
наполнение контентом,13
spark,14
go,15
proxmox,16
контроль и анализ ценообразования,17
регрессионное тестирование,18
nosql,19
ms excel,20
ui,21
vuetify,22
protopie,23
технический контроль производства,24
регресионное тестирование,25
nginx,26
план продвижения,27
разработка маркетинговой стратегии,28
google analytics,29
разработка фирменного стиля,30
ms outlook,31
1с: документооборот,32
администрирование сайтов,33
прямые продажи,34
разработка поисковых технологий,35
точность и внимательность к деталям,36
groovy,37
html-верстка,38
ci,39
поиск и привлечение клиентов,40
web security,41
nest.js,42
soap,43
internet marketing,44
интернет-реклама,45
c/c++,46
terraform,47
html5,48
маркетинговое планирование,49
контроль качества,50
управление персоналом,51
vue.js,52
seaborn,53
социальные сети,54
hibernate orm,55
openstack,56
vuejs,57
usability,58
c#,59
react,60
zabbix,61
cms wordpress,62
веб-аналитика,63
spa,64
работа в условиях многозадачности,65
битрикс24,66
cucumber,67
windows server,68
моделирование,69
api,70
clickhouse,71
atlassian jira,72
моделирование процессов,73
aris,74
coreldraw,75
pytorch,76
написание тз,77
landing page,78
управление отношениями с клиентами,79
описание бизнес-процессов,80
ms sql,81
junit,82
matplotlib,83
работа с большим объемом информации,84
golang,85
backend,86
управление временем,87
ms project,88
allure,89
адаптивность,90
apache maven,91
интернет маркетинг,92
управление качеством,93
javascript,94
kibana,95
bitrix,96
postman,97
обучение персонала,98
php5,99
gulp,100
data engineering,101
tilda,102
react/redux,103
верстка,104
hadoop,105
ml,106
регресcионное тестирование,107
высшее образование,108
kotlin,109
проектная документация,110
epc,111
веб-программирование,112
разработка логотипов,113
nuxt.js,114
проектная деятельность,115
информационные рассылки,116
автоматизация тестирования,117
erp,118
trello,119
cento,120
статистика,121
adobe photoshop,122
системный анализ,123
ajax,124
sass/scss,125
3d-графика,126
azure,127
unity,128
customer journey map,129
json,130
ms powerpoint,131
matlab,132
asp.net core,133
charles,134
prometheus,135
data science,136
coreldraw photo draw,137
analytical skills,138
fiddler,139
3d,140
разработка регламентов,141
согласование договоров,142
miro,143
debian,144
ux/ui,145
чувство стиля,146
roistat,147
redux,148
вывод продукта на рынок,149
администрирование серверов linux,150
администрирование,151
сопровождение строительства,152
маркетинговые исследования,153
data analysis,154
разработка концепции,155
bi,156
математическая статистика,157
деловое общение,158
google ads,159
prototyping,160
телефонные переговоры,161
google adwords,162
principle,163
системный подход,164
customer development,165
поисковая оптимизация сайтов,166
тестирование api,167
yii2,168
css,169
devops,170
постановка задач разработчикам,171
yii,172
gitlab ci,173
idef,174
adobe after effects,175
ci/cd,176
test case,177
мониторинг,178
nexus,179
выбор подрядных организаций,180
laravel,181
теория вероятностей,182
организация мероприятий,183
rxjs,184
material ui,185
маркетинг,186
тестирование пользовательского интерфейса,187
fastapi,188
redis,189
jira,190
bash,191
es6,192
greenplum,193
docker-compose,194
ведение документации,195
английский язык,196
computer vision,197
системная интеграция,198
react native,199
тестирование мобильных приложений,200
базы данных,201
базы данных ,202
dax,203
подготовка коммерческих предложений,204
автоматизированное тестирование,205
машинное обучение,206
scal,207
erp-системы на базе 1с,208
sms маркетинг,209
таргетинг,210
java script,211
keras,212
dwh,213
ведение переписки,214
axure rp,215
функциональное тестирование,216
teradata,217
ubuntu,218
создание сайтов,219
валидная верстка,220
разработка продукта,221
data mining,222
анализ ассортиментной линейки,223
grpc,224
helm,225
маркетинговая стратегия,226
разработка технических заданий,227
закупка товаров и услуг,228
sql,229
работа в графических редакторах,230
математическое моделирование,231
управление бюджетом,232
планирование,233
e-mail marketing,234
исследования рынка,235
