title,id,clear_title
Абаза,0,абаза
Абакан,1,абакан
Абдулино,2,абдулино
Абинск,3,абинск
Агидель,4,агидель
Агрыз,5,агрыз
Адыгейск,6,адыгейск
Азнакаево,7,азнакаево
Азов,8,азов
Ак-Довурак,9,ак довурак
Аксай,10,аксай
Алагир,11,алагир
Алапаевск,12,алапаевск
Алатырь,13,алатырь
Алдан,14,алдан
Алейск,15,алейск
Александров,16,александров
Александровск,17,александровск
Александровск-Сахалинский,18,александровск сахалинский
Алексеевка,19,алексеевка
Алексин,20,алексин
Алзамай,21,алзамай
Алупка,22,алупка
Алушта,23,алушта
Альметьевск,24,альметьевск
Амурск,25,амурск
Анадырь,26,анадырь
Анапа,27,анапа
Ангарск,28,ангарск
Андреаполь,29,андреаполь
Анжеро-Судженск,30,анжеро судженск
Анива,31,анива
Апатиты,32,апатиты
Апрелевка,33,апрелевка
Апшеронск,34,апшеронск
Арамиль,35,арамиль
Аргун,36,аргун
Ардатов,37,ардатов
Ардон,38,ардон
Арзамас,39,арзамас
Аркадак,40,аркадак
Армавир,41,армавир
Армянск,42,армянск
Армянськ,43,армянськ
Арсеньев,44,арсеньев
Арск,45,арск
Артем,46,артем
Артемовск,47,артемовск
Артемовский,48,артемовский
Архангельск,49,архангельск
Асбест,50,асбест
Асино,51,асино
Астрахань,52,астрахань
Аткарск,53,аткарск
Ахтубинск,54,ахтубинск
Ачинск,55,ачинск
Аша,56,аша
Бабаево,57,бабаево
Бабушкин,58,бабушкин
Бавлы,59,бавлы
Багратионовск,60,багратионовск
Байкальск,61,байкальск
Баймак,62,баймак
Бакал,63,бакал
Баксан,64,баксан
Балабаново,65,балабаново
Балаково,66,балаково
Балахна,67,балахна
Балашиха,68,балашиха
Балашов,69,балашов
Балей,70,балей
Балтийск,71,балтийск
Барабинск,72,барабинск
Барнаул,73,барнаул
Барыш,74,барыш
Батайск,75,батайск
Бахчисарай,76,бахчисарай
Бежецк,77,бежецк
Белая Калитва,78,белая калитва
Белая Холуница,79,белая холуница
Белгород,80,белгород
Белебей,81,белебей
Белев,82,белев
Белинский,83,белинский
Белово,84,белово
Белогорск,85,белогорск
Белозерск,86,белозерск
Белокуриха,87,белокуриха
Беломорск,88,беломорск
Белорецк,89,белорецк
Белореченск,90,белореченск
Белоусово,91,белоусово
Белоярский,92,белоярский
Белый,93,белый
Бердск,94,бердск
Березники,95,березники
Березовский,96,березовский
Беслан,97,беслан
Бийск,98,бийск
Бикин,99,бикин
Билибино,100,билибино
Биробиджан,101,биробиджан
Бирск,102,бирск
Бирюсинск,103,бирюсинск
Бирюч,104,бирюч
Благовещенск,105,благовещенск
Благодарный,106,благодарный
Бобров,107,бобров
Богданович,108,богданович
Богородицк,109,богородицк
Богородск,110,богородск
Боготол,111,боготол
Богучар,112,богучар
Бодайбо,113,бодайбо
Бокситогорск,114,бокситогорск
Болгар,115,болгар
Бологое,116,бологое
Болотное,117,болотное
Болохово,118,болохово
Болхов,119,болхов
Большой Камень,120,большой камень
Бор,121,бор
Борзя,122,борзя
Борисоглебск,123,борисоглебск
Боровичи,124,боровичи
Боровск,125,боровск
Бородино,126,бородино
Братск,127,братск
Бронницы,128,бронницы
Брянск,129,брянск
Бугульма,130,бугульма
Бугуруслан,131,бугуруслан
Буденновск,132,буденновск
Бузулук,133,бузулук
Буинск,134,буинск
Буй,135,буй
Буйнакск,136,буйнакск
Бутурлиновка,137,бутурлиновка
Валдай,138,валдай
Валуйки,139,валуйки
Велиж,140,велиж
Великие Луки,141,великие луки
Великий Новгород,142,великий новгород
Великий Устюг,143,великий устюг
Вельск,144,вельск
Венев,145,венев
Верещагино,146,верещагино
Верея,147,верея
Верхнеуральск,148,верхнеуральск
Верхний Тагил,149,верхний тагил
Верхний Уфалей,150,верхний уфалей
Верхняя Пышма,151,верхняя пышма
Верхняя Салда,152,верхняя салда
Верхняя Тура,153,верхняя тура
Верхотурье,154,верхотурье
Верхоянск,155,верхоянск
Весьегонск,156,весьегонск
Ветлуга,157,ветлуга
Видное,158,видное
Вилюйск,159,вилюйск
Вилючинск,160,вилючинск
Вихоревка,161,вихоревка
Вичуга,162,вичуга
Владивосток,163,владивосток
Владикавказ,164,владикавказ
Владимир,165,владимир
Волгоград,166,волгоград
Волгодонск,167,волгодонск
Волгореченск,168,волгореченск
Волжск,169,волжск
Волжский,170,волжский
Вологда,171,вологда
Володарск,172,володарск
Волоколамск,173,волоколамск
Волосово,174,волосово
Волхов,175,волхов
Волчанск,176,волчанск
Вольск,177,вольск
Воркута,178,воркута
Воронеж,179,воронеж
Ворсма,180,ворсма
Воскресенск,181,воскресенск
Воткинск,182,воткинск
Всеволожск,183,всеволожск
Вуктыл,184,вуктыл
Выборг,185,выборг
Выкса,186,выкса
Высоковск,187,высоковск
Высоцк,188,высоцк
Вытегра,189,вытегра
Вышний Волочек,190,вышний волочек
Вяземский,191,вяземский
Вязники,192,вязники
Вязьма,193,вязьма
Вятские Поляны,194,вятские поляны
Гаврилов Посад,195,гаврилов посад
Гаврилов-Ям,196,гаврилов ям
Гагарин,197,гагарин
Гаджиево,198,гаджиево
Гай,199,гай
Галич,200,галич
Гатчина,201,гатчина
Гвардейск,202,гвардейск
Гдов,203,гдов
Геленджик,204,геленджик
Георгиевск,205,георгиевск
Глазов,206,глазов
Голицыно,207,голицыно
Горбатов,208,горбатов
Горно-Алтайск,209,горно алтайск
Горнозаводск,210,горнозаводск
Горняк,211,горняк
Городец,212,городец
Городище,213,городище
Городовиковск,214,городовиковск
Черноголовка,215,черноголовка
Гороховец,216,гороховец
Горячий Ключ,217,горячий ключ
Грайворон,218,грайворон
Гремячинск,219,гремячинск
Грозный,220,грозный
Грязи,221,грязи
Грязовец,222,грязовец
Губаха,223,губаха
Губкин,224,губкин
Губкинский,225,губкинский
Гудермес,226,гудермес
Гуково,227,гуково
Гулькевичи,228,гулькевичи
Гурьевск,229,гурьевск
Гусев,230,гусев
Гусиноозерск,231,гусиноозерск
Гусь-Хрустальный,232,гусь хрустальный
Давлеканово,233,давлеканово
Дагестанские Огни,234,дагестанские огни
Далматово,235,далматово
Дальнегорск,236,дальнегорск
Дальнереченск,237,дальнереченск
Данилов,238,данилов
Данков,239,данков
Дегтярск,240,дегтярск
Дедовск,241,дедовск
Демидов,242,демидов
Дербент,243,дербент
Десногорск,244,десногорск
Джанкой,245,джанкой
Дзержинск,246,дзержинск
Дзержинский,247,дзержинский
Дивногорск,248,дивногорск
Дигора,249,дигора
Димитровград,250,димитровград
Дмитриев,251,дмитриев
Дмитров,252,дмитров
Дмитровск,253,дмитровск
Дно,254,дно
Добрянка,255,добрянка
Долгопрудный,256,долгопрудный
Долинск,257,долинск
Домодедово,258,домодедово
Донецк,259,донецк
Донской,260,донской
Дорогобуж,261,дорогобуж
Дрезна,262,дрезна
Дубна,263,дубна
Дубовка,264,дубовка
Дудинка,265,дудинка
Духовщина,266,духовщина
Дюртюли,267,дюртюли
Дятьково,268,дятьково
Евпатория,269,евпатория
Егорьевск,270,егорьевск
Ейск,271,ейск
Екатеринбург,272,екатеринбург
Елабуга,273,елабуга
Елец,274,елец
Елизово,275,елизово
Ельня,276,ельня
Еманжелинск,277,еманжелинск
Емва,278,емва
Енисейск,279,енисейск
Ермолино,280,ермолино
Ершов,281,ершов
Ессентуки,282,ессентуки
Ефремов,283,ефремов
Железноводск,284,железноводск
Железногорск,285,железногорск
Железнодорожный,286,железнодорожный
Жердевка,287,жердевка
Жигулевск,288,жигулевск
Жиздра,289,жиздра
Жирновск,290,жирновск
Жуков,291,жуков
Жуковка,292,жуковка
Жуковский,293,жуковский
Завитинск,294,завитинск
Заводоуковск,295,заводоуковск
Заволжск,296,заволжск
Заволжье,297,заволжье
Задонск,298,задонск
Заинск,299,заинск
Закаменск,300,закаменск
Заозерный,301,заозерный
Заозерск,302,заозерск
Западная Двина,303,западная двина
Заполярный,304,заполярный
Зарайск,305,зарайск
Заречный,306,заречный
Заринск,307,заринск
Звенигово,308,звенигово
Звенигород,309,звенигород
Зверево,310,зверево
Зеленогорск,311,зеленогорск
Зеленоград,312,зеленоград
Зеленоградск,313,зеленоградск
Зеленодольск,314,зеленодольск
Зеленокумск,315,зеленокумск
Зерноград,316,зерноград
Зея,317,зея
Зима,318,зима
Златоуст,319,златоуст
Злынка,320,злынка
Змеиногорск,321,змеиногорск
Знаменск,322,знаменск
Зубцов,323,зубцов
Зуевка,324,зуевка
Ивангород,325,ивангород
Иваново,326,иваново
Ивантеевка,327,ивантеевка
Ивдель,328,ивдель
Игарка,329,игарка
Ижевск,330,ижевск
Избербаш,331,избербаш
Изобильный,332,изобильный
Иланский,333,иланский
Инза,334,инза
Инкерман,335,инкерман
Инсар,336,инсар
Инта,337,инта
Ипатово,338,ипатово
Ирбит,339,ирбит
Иркутск,340,иркутск
Исилькуль,341,исилькуль
Искитим,342,искитим
Истра,343,истра
Ишим,344,ишим
Ишимбай,345,ишимбай
Йошкар-Ола,346,йошкар ола
Кадников,347,кадников
Казань,348,казань
Калач,349,калач
Калачинск,350,калачинск
Калач-на-Дону,351,калач на дону
Калининград,352,калининград
Калининск,353,калининск
Калтан,354,калтан
Калуга,355,калуга
Калязин,356,калязин
