vacancy_id,town_id
0,272
1,596
2,596
3,596
4,596
5,596
6,596
7,596
8,596
9,596
10,596
11,596
12,352
13,734
14,596
15,596
16,822
17,596
18,596
19,822
20,596
21,596
22,596
23,596
24,822
25,596
26,596
27,596
28,822
29,596
30,596
31,596
32,596
33,272
34,821
35,596
36,596
37,596
38,596
39,822
40,596
41,596
42,596
43,596
44,702
45,596
46,596
47,352
48,596
49,639
50,664
51,596
52,596
53,596
54,596
55,1017
56,596
57,596
58,596
59,596
60,596
61,596
62,596
63,596
64,596
65,596
66,596
67,596
68,596
69,596
70,596
71,803
71,802
72,596
73,596
74,596
75,596
76,596
77,596
78,822
79,596
80,596
81,596
82,639
83,596
84,596
85,822
86,972
87,596
88,596
89,822
90,596
91,596
92,596
93,596
94,639
95,821
96,822
97,822
98,272
99,639
100,596
101,822
102,596
103,596
104,596
105,596
106,596
107,272
108,822
109,596
110,348
111,596
112,821
113,596
114,596
115,596
116,596
117,163
118,596
119,596
120,596
121,596
122,596
123,596
124,596
125,596
126,596
127,821
128,596
129,348
130,596
131,664
132,596
133,596
134,1017
135,639
136,822
137,895
138,822
139,596
140,596
141,895
142,596
143,179
144,1017
145,596
146,1017
147,821
148,596
149,596
150,460
151,596
152,596
153,596
154,596
155,596
156,272
157,596
158,596
159,596
160,822
161,822
162,596
163,596
165,73
166,664
167,596
168,596
169,803
169,802
170,272
171,596
172,596
173,596
174,596
175,596
177,596
178,596
179,596
180,596
181,596
182,822
184,596
185,596
186,596
187,596
188,822
189,348
190,596
191,596
192,596
193,803
193,802
194,596
195,596
196,822
197,822
198,596
199,596
200,596
202,596
203,639
204,596
205,596
206,596
207,596
208,596
209,596
210,596
211,596
212,272
213,596
214,596
215,822
216,596
217,895
218,596
219,596
220,822
221,596
223,895
224,596
225,596
226,596
227,596
228,664
229,822
230,596
231,822
232,822
233,596
234,596
235,822
236,596
237,822
238,822
